codigo,familia,proveedor,contenido_peso,contenido_cantidad,detalle,fecha_actualizacion_costo,costo_usd,costo_ars,costo_unitario_ars,color_origen
080POL,POLVO,KEYSTONE,1,1,POLVO POLIMERIZADOR,,,49734.90828906484,49734.90828906484,GRIS
080ENV,ENVASE,DANO,1,1000,CRISTAL TAPA BLANCA 16ml. P/ POLIMERO 14gr.,2023-02-13,323,497420,497.42,ROJO
080ENVA,ENVASE,DONGGUAN,,1,CRISTAL TAPA NEGRA 14gr. P/ POLIMERO 14gr.,,,310.5117024249504,310.5117024249504,ROJO
080G,GUARNICION,NGM,,1,GUARNICION PARA ENVASES 14GR,2022-10-22,,1.5,1.5,ROJO
080BOL,BOLSA,MAZA LOSA,,1,BOLSA PARA PACK,2024-06-04,,23.9,23.9,ROJO
080ETL,ETIQUETA,MERC. PAGO,100,1000,ETIQUETAS DE LOTE Y VENCIMIENTO,,,213.15,0.21315,GRIS
080ET,ETIQUETA,ELGART,1,54,ROSADO TRASLUCIDO 14GRM,,3.72,2752.8,50.97777777777778,GRIS
081ET,ETIQUETA,ELGART,1,54,ROSADO NATURAL 14GRM,,3.72,2752.8,50.97777777777778,GRIS
082ET,ETIQUETA,ELGART,1,54,CLEAR TRANSPARENTE 14GMR,,3.72,2752.8,50.97777777777778,GRIS
083ET,ETIQUETA,ELGART,1,54,BLANCO FRENCH 14GRM,,3.72,2752.8,50.97777777777778,GRIS
084ET,ETIQUETA,ELGART,1,54,BLANCO SHIMMER 14GRM,,3.72,2752.8,50.97777777777778,GRIS
085ET,ETIQUETA,ELGART,1,54,SHOW COVER PINK 14GRM,,3.72,2752.8,50.97777777777778,GRIS
086ET,ETIQUETA,ELGART,1,54,SOFT COVER PINK 14GRM,,3.72,2752.8,50.97777777777778,GRIS
087ET,ETIQUETA,ELGART,1,54,DARK COVER PINK 14GRM,,3.72,2752.8,50.97777777777778,GRIS
088ET,ETIQUETA,ELGART,1,54,PINKY COVER PINK 14GRM,,3.72,2752.8,50.97777777777778,GRIS
089ET,ETIQUETA,ELGART,1,54,COVER PINK BEIGE 14GRM,,3.72,2752.8,50.97777777777778,GRIS
090ET,ETIQUETA,ELGART,1,54,COVER PINK DIAMONDS 14GRM,,3.72,2752.8,50.97777777777778,GRIS
091ET,ETIQUETA,ELGART,1,54,COVER PINK PRINCESS 14GRM,,3.72,2752.8,50.97777777777778,GRIS
092ET,ETIQUETA,ELGART,1,54,COVER PINK GOLDEN TOUCH 14GRM,,3.72,2752.8,50.97777777777778,GRIS
093ENV,ENVASE,CHIBI,45,1,ENVASE POLIMERO 45gr (CAJA x 300 Unid),2024-12-18,,411,411,ROJO
093BOL,BOLSA,,,1,BOLSA PARA PACK,,,,30,ROJO
093ET,ETIQUETA,ELGART,1,16,ROSA TRASLUCIDO 45GRM,,3.72,2752.8,172.05,GRIS
094ET,ETIQUETA,ELGART,1,16,ROSADO NATURAL 45GRM,,3.72,2752.8,172.05,GRIS
095ET,ETIQUETA,ELGART,1,16,CLEAR TRANSPARENTE 45GRM,,3.72,2752.8,172.05,GRIS
096ET,ETIQUETA,ELGART,1,16,BLANCO FRENCH 45GRM,,3.72,2752.8,172.05,GRIS
097ET,ETIQUETA,ELGART,1,16,BLANCO SHIMMER 45GRM,,3.72,2752.8,172.05,GRIS
098ET,ETIQUETA,ELGART,1,16,SHOW COVER PINK 45GRM,,3.72,2752.8,172.05,GRIS
099ET,ETIQUETA,ELGART,1,16,SOFT COVER PINK 45GRM,,3.72,2752.8,172.05,GRIS
100ET,ETIQUETA,ELGART,1,16,DARK COVER PINK 45GRM,,3.72,2752.8,172.05,GRIS
101ESE,ESENCIA,EUMA,1,1,ESENCIA PARA MONOMERO,2026-08-14,12,17700,17700,GRIS
101TAP,TAPA,AMOPLAST,,1,TAPA,,,1.43,1.43,VIOLETA
101ENV,ENVASE,PIROPLAST,125,1,ENVASE DE 125ml. VIEJO,,,9.1,9.1,VIOLETA
101ENVA,ENVASE,PIROPLAST,100,1,SEVILLA x 100ml. BLANCO NUEVO,2025-05-20,0.124,182.9,182.9,ROJO
101TAPA,TAPA,ENTAPLAST,CAJA,4000,TAPA FLIP TOP 20/410 NEGRA,2025-02-06,,57.02,57.02,ROJO
101TAPACIEGA,TAPA,RUMAR,,1,TAPA CIEGA NEGRA 20/410,2025-12-18,,84,84,ROJO
