bloque,producto_planilla,producto_nombre_planilla,fila,insumo_codigo,insumo_nombre_planilla,cantidad
D249,101PF,MONOMERO 100ml. FAB,250,101ENVA,SEVILLA x 100ml. BLANCO NUEVO,1
J249,101,MONOMERO 100ml. VIEJO,250,101ENV,ENVASE,1
Y249,101PF1,MONOMERO 100ml. FAB,250,101ENVA,SEVILLA x 100ml. BLANCO NUEVO,1
AF249,101,MONOMERO 100ml. NUEVO,250,101ENVA,SEVILLA x 100ml. BLANCO NUEVO,1
D249,101PF,MONOMERO 100ml. FAB,251,101ET,MONOMERO DE 100ml.,1
J249,101,MONOMERO 100ml. VIEJO,251,101ET,ETIQUETA QUILMES,1
Y249,101PF1,MONOMERO 100ml. FAB,251,101ET,MONOMERO DE 100ml.,1
AF249,101,MONOMERO 100ml. NUEVO,251,101ET,ETIQUETA QUILMES,1
D249,101PF,MONOMERO 100ml. FAB,252,101TAPACIEGA,TAPA CIEGA NEGRA 20/410,1
J249,101,MONOMERO 100ml. VIEJO,252,101TAP,TAPA,1
Y249,101PF1,MONOMERO 100ml. FAB,252,101TAPA,TAPA FLIP TOP 20/410 NEGRA,1
AF249,101,MONOMERO 100ml. NUEVO,252,101TAPA,TAPA FLIP TOP 20/410 NEGRA,1
D249,101PF,MONOMERO 100ml. FAB,253,101ESE,ESENCIA PARA MONOMERO,2E-3
J249,101,MONOMERO 100ml. VIEJO,253,101ESE,ESENCIA,2E-3
Y249,101PF1,MONOMERO 100ml. FAB,253,101ESE,ESENCIA PARA MONOMERO,2E-3
AF249,101,MONOMERO 100ml. NUEVO,253,101ESE,ESENCIA PARA MONOMERO,2E-3
D249,101PF,MONOMERO 100ml. FAB,254,101MONO,LIQ. ACRILICO TACHO x 200 lts.,0.1
J249,101,MONOMERO 100ml. VIEJO,254,101MO,MONOMERO+MO,1
Y249,101PF1,MONOMERO 100ml. FAB,254,101MONO,LIQ. ACRILICO TACHO x 200 lts.,0.1
